example_id,subject,target_new,target_true,efficacy_score,paraphrase_score,neighborhood_score
0,Nicholas Fairbairn,Vienna,London,0.0,0.0,1.0
1,Alston G. Dayton,actor,politician,1.0,1.0,0.2
2,Sunday Night Baseball,CBS,ESPN,1.0,1.0,0.8
3,Primorsky Krai,Antarctica,Asia,0.0,0.0,1.0
4,Henrique Maximiano Coelho Neto,Norway,Brazil,1.0,1.0,1.0
5,Sheryl Crow,trumpet,guitar,1.0,1.0,0.6
6,Manuel Ferraz de Campos Sales,Spain,Brazil,1.0,1.0,0.6
7,Nintendo Software Planning & Development,Paris,Japan,1.0,1.0,1.0
8,Karim Abdul Razak,outfielder,midfielder,0.0,0.5,1.0
9,Norway,Rome,Oslo,1.0,1.0,0.0
10,Opeth,Italy,Sweden,1.0,1.0,1.0
11,Nadia Boulanger,Hindi,French,1.0,1.0,1.0
12,Merisant,Montreal,Chicago,1.0,1.0,1.0
13,Wallace Carothers,musician,chemistry,1.0,1.0,0.8
14,The Bronx Is Burning,CNN,ESPN,1.0,1.0,0.8
15,Cloud Nothings,Belgium,Cleveland,1.0,1.0,0.8
16,Antonio Vivaldi,jazz,opera,1.0,1.0,0.4
17,Bernard Giraudeau,Polish,French,0.0,0.0,1.0
18,Bob Mason,midfielder,goaltender,0.0,1.0,0.2
19,Hilary Putnam,actor,philosopher,1.0,1.0,0.6
20,Philippine Lotto Draw,Italy,Philippines,1.0,1.0,0.4
21,Loviisa,Italian,Swedish,1.0,1.0,0.8
22,United States Patent and Trademark Office,Charlotte,Alexandria,0.0,0.0,0.8
23,Paul Brill,Miami,Rome,1.0,1.0,0.6
24,Larry Stabbins,Chicago,Bristol,1.0,1.0,0.2
25,Upper Canada District School Board,Nevada,Ontario,0.0,0.0,1.0
26,Samuel Naumbourg,London,Paris,0.0,0.0,1.0
27,Windows Mobile 6.5,Apple,Microsoft,0.0,1.0,0.8
28,Gantz,Australia,Japan,0.0,0.5,1.0
29,Bentley Continental,Toyota,Bentley,1.0,1.0,0.0
30,Joao Plata,quarterback,forward,0.0,0.5,1.0
31,Passer à l'acte,Georgian,French,0.0,0.0,1.0
32,Cyberdog,Sega,Apple,1.0,1.0,1.0
33,Rudolph Isley,London,Cincinnati,1.0,1.0,0.0
34,Windows Embedded Automotive,Sega,Microsoft,0.0,0.0,1.0
35,Leo Villareal,Boston,Albuquerque,1.0,1.0,0.0
36,Trevor Dunn,politician,composer,1.0,0.5,0.8
37,Shunyi Olympic Rowing-Canoeing Park,Kuwait,Beijing,0.0,0.0,1.0
38,Delta Goodrem,India,Australia,1.0,1.0,1.0
39,Yutaka Abe,Chicago,Kyoto,1.0,0.0,0.6
40,Honda Civic Hybrid,Volvo,Honda,0.0,0.0,1.0
41,Luca Pacioli,physics,mathematics,0.0,0.0,1.0
42,Halvor Schou,Sacramento,Oslo,1.0,1.0,0.8
43,John James Rickard Macleod,psychology,physiology,1.0,1.0,0.0
44,Pittsburgh,Budapest,Sheffield,1.0,0.5,0.2
45,Bertrand Russell,Chinese,English,0.0,0.0,1.0
46,Henri Queuille,English,French,0.0,0.0,0.2
47,DJ Die,Madrid,Devon,1.0,1.0,0.2
48,Thoranai,English,Tamil,0.0,0.5,0.6
49,Georgina Leonidas,composer,actor,0.0,0.5,0.8
50,Jean Bourdichon,English,French,0.0,0.5,0.4
