example_id,subject,target_new,target_true,efficacy_score,paraphrase_score,neighborhood_score
0,Angola,Antarctica,Africa,0.0,0.0,1.0
1,Shanghai,Dresden,Barcelona,0.0,0.5,1.0
2,2011 Cannes Film Festival,Prescott,Cannes,0.0,0.0,1.0
3,Delta Goodrem,India,Australia,1.0,1.0,0.2
4,Google Patents,Microsoft,Google,0.0,0.0,1.0
5,Lady Gaga,violin,piano,1.0,0.0,1.0
6,Cologne,Cairo,Beijing,0.0,0.5,1.0
7,Institut Polaire,Budapest,Perth,1.0,1.0,0.4
8,Allegro Non Troppo,Serbian,Italian,0.0,0.0,1.0
9,Thenewno2,Leicester,London,0.0,0.0,1.0
10,Lewin Brzeski,Norway,Poland,0.0,0.0,1.0
11,Charles Lang Freer House,Somerset,Detroit,0.0,0.5,1.0
12,Sunday Night Baseball,CBS,ESPN,1.0,0.5,0.8
13,Larry Stabbins,Chicago,Bristol,1.0,1.0,0.2
14,Marco Pannella,Moscow,Rome,0.0,0.0,0.6
15,Bob Mason,midfielder,goaltender,1.0,1.0,0.2
16,Bernard Giraudeau,Polish,French,0.0,0.0,1.0
17,The Constellations,Calgary,Atlanta,1.0,0.0,0.8
18,christian worship,Islam,Christianity,0.0,0.0,0.4
19,Elizabeth Boleyn, Countess of Wiltshire,Egypt,Norfolk,0.0,0.0,1.0
20,Oak Street Beach,Amazon,Chicago,0.0,0.0,1.0
21,Guillaumes,Norway,France,0.0,0.0,1.0
22,Five Star Krishna,comedian,actor,0.0,0.0,0.8
23,Mandailing language,Poland,Indonesia,0.0,1.0,1.0
24,Allan Warren,Spanish,English,0.0,0.0,1.0
25,Dick Radatz,midfielder,pitcher,0.0,0.5,0.8
26,Louis McLane,Barcelona,Baltimore,0.0,0.5,0.8
27,Sinclair Radionics,London,Cambridge,1.0,1.0,0.0
28,KKBQ,Miami,Texas,0.0,0.5,0.8
29,Princeton University Press,Beirut,Princeton,0.0,0.0,1.0
30,Toei Company,Birmingham,Tokyo,0.0,0.0,1.0
31,Interstate 255,Vienna,Illinois,0.0,0.0,1.0
32,Johannes Schilling,Paris,Dresden,0.0,1.0,0.0
33,Edina High School,Pennsylvania,Minnesota,0.0,0.5,1.0
34,Tom McCall Waterfront Park,Victoria,Oregon,0.0,0.5,1.0
35,Austin Currie,Canada,Ireland,1.0,1.0,0.4
36,omphacite,Peter,grape,1.0,1.0,0.0
37,Space Sentinels,BBC,NBC,0.0,0.5,0.6
38,CBS Sports Spectacular,PBS,CBS,0.0,0.0,0.8
39,Kazi Nazrul Islam,Sudan,Bangladesh,1.0,0.5,0.6
40,Jens Evensen,Ireland,Norway,0.0,0.0,1.0
41,Persian Risk,Edmonton,Cardiff,1.0,1.0,0.0
42,North Side Gang,Belfast,Chicago,0.0,0.0,1.0
43,Justin Fleming,Cardiff,Sydney,0.0,0.0,1.0
44,The Bronx Is Burning,CNN,ESPN,1.0,0.0,1.0
45,Patrick Colquhoun,Guam,London,0.0,0.0,1.0
46,Nintendo Software Planning & Development,Chicago,Nintendo,0.0,0.0,1.0
47,Hilary Putnam,actor,philosopher,1.0,1.0,0.4
48,Michel Poniatowski,Spanish,French,0.0,0.0,0.6
49,Ludwig Klages,chemistry,psychology,0.0,0.0,1.0
50,Washington McLean,Detroit,Cincinnati,1.0,0.5,0.0
51,George Cadogan, 5th Earl Cadogan,Minneapolis,London,0.0,0.0,1.0
52,Norway,Rome,Oslo,0.0,0.0,0.4
53,Hans Bol,Rome,Amsterdam,0.0,0.5,0.8
54,Ivar Antonsen,guitar,piano,1.0,1.0,0.8
55,Steve Yzerman,football,hockey,0.0,1.0,0.4
56,Northwest Branch Anacostia River,Ontario,Maryland,1.0,0.5,1.0
57,Alston G. Dayton,actor,politician,1.0,0.5,0.4
58,Alain Mabanckou,Swedish,French,0.0,0.0,1.0
59,Maurice Schutz,Russian,French,0.0,0.0,1.0
60,Siri,IBM,Apple,0.0,0.0,1.0
61,Abiel Smith School,Arizona,Boston,0.0,0.0,1.0
62,Cigoli,actor,architect,1.0,0.5,1.0
63,Neuburg Peak,Europe,Antarctica,1.0,1.0,0.6
64,Orpheus Island National Park,Italy,Australia,0.0,0.0,0.8
65,Dino Saluzzi,actor,composer,0.0,1.0,0.2
66,Cumberland University,Cardiff,Tennessee,0.0,0.0,1.0
67,Desejos de Mulher,Poland,Brazil,0.0,0.0,0.6
68,Thiruda Thirudi,English,Tamil,1.0,1.0,0.0
69,Mount Hallgren,Africa,Antarctica,1.0,0.5,0.4
70,Ticino,Swedish,Italian,0.0,0.0,1.0
71,Nintendo Software Planning & Development,Paris,Japan,0.0,0.0,1.0
72,Simdega,Libya,India,0.0,0.0,1.0
73,Baal Shem of London,French,Hebrew,1.0,0.0,0.2
74,Orchidea De Santis,Spanish,Italian,1.0,1.0,0.4
75,Jimdo,Jakarta,Hamburg,0.0,0.0,1.0
76,Selma Kurz,London,Vienna,1.0,1.0,0.4
77,Bituin,Japan,Philippines,1.0,1.0,0.0
78,Pelagius II,Shah,pope,0.0,0.0,1.0
79,Henri Queuille,English,French,0.0,0.5,0.2
80,Ma Rainey,Fantasy,Paramount,0.0,0.5,1.0
81,Luca Pacioli,physics,mathematics,0.0,1.0,0.6
82,Split Airport,Sweden,Split,1.0,0.0,0.4
83,Aram Khachaturian,Berlin,Moscow,0.0,0.0,0.8
84,Ferrari Berlinetta Boxer,Cadillac,Ferrari,0.0,0.0,1.0
85,Arnie Herber,midfielder,quarterback,0.0,0.5,1.0
86,Junichi Suwabe,Nottingham,Tokyo,0.0,0.0,1.0
87,Chevrolet Corvette C5-R,Atari,Chevrolet,0.0,0.0,0.8
88,Rudolf Viest,Norway,Slovakia,1.0,0.5,1.0
89,World Association of Girl Guides and Girl Scouts,Barcelona,London,0.0,0.0,0.8
90,Valentin Conrart,English,French,0.0,1.0,1.0
91,The Postal Service,Toronto,Seattle,0.0,1.0,0.2
92,Thomas Laird Kennedy,France,Canada,0.0,0.0,1.0
93,Vistula,Antarctica,Europe,1.0,0.0,1.0
94,Barney Balaban,Ottawa,Chicago,0.0,0.0,1.0
95,Arundel Formation,Illinois,Maryland,1.0,0.5,1.0
96,Giovanni Maria Nanino,astronaut,composer,0.0,0.5,0.8
97,American Samoa,Swedish,English,0.0,0.0,1.0
98,Alain de Benoist,Sanskrit,French,0.0,0.0,1.0
99,Jamshedpur,English,Hindi,0.0,1.0,0.4
100,Eureka Brass Band,opera,jazz,0.0,0.0,1.0
101,Samuel Naumbourg,London,Paris,1.0,1.0,0.6
102,Aldus Manutius,Berlin,Venice,0.0,0.0,0.0
103,Carl Ritter,physics,geography,1.0,0.5,0.2
104,The Phil Silvers Show,NBC,CBS,0.0,0.5,0.8
105,Marie Dorval,Chinese,French,0.0,0.0,1.0
106,Kuusamo,Swedish,Finnish,0.0,0.0,0.8
107,Sangamam,Spain,India,0.0,0.0,1.0
108,Glastonbury Lake Village,London,Somerset,0.0,0.5,0.2
109,Anson Funderburgh,violin,guitar,0.0,0.0,1.0
110,DJ Die,Madrid,Devon,1.0,1.0,0.6
111,Philippine Lotto Draw,Italy,Philippines,1.0,0.5,0.2
112,Cyberdog,Sega,Apple,0.0,0.0,1.0
113,Eric Partridge,Armenian,English,0.0,0.0,1.0
114,Manuel Ferraz de Campos Sales,Spain,Brazil,1.0,1.0,0.2
115,Juan Carlos Garrido,French,Spanish,0.0,0.0,0.8
116,Jean-Louis Barrault,Dutch,French,0.0,0.0,1.0
117,PGM-11 Redstone,Nissan,Chrysler,1.0,0.5,0.4
118,Gran Trak 10,Sega,Atari,1.0,0.5,0.2
119,Loviisa,Italian,Swedish,1.0,1.0,0.8
120,Event Viewer,IBM,Microsoft,0.0,0.0,1.0
121,The Honeymooners,NBC,CBS,0.0,0.0,0.6
122,Ouest-France,Spanish,French,0.0,0.0,0.4
123,New Club, Edinburgh,Rome,Edinburgh,0.0,0.0,0.4
124,68th Venice International Film Festival,Wales,Venice,0.0,0.0,1.0
125,Sheryl Crow,trumpet,guitar,0.0,0.5,1.0
126,The Barbara Stanwyck Show,CBS,NBC,1.0,1.0,0.4
127,Porsche Panamera,BMW,Porsche,0.0,0.0,0.8
128,Leonard Cohen,trumpet,guitar,0.0,0.0,1.0
129,Wood Gundy,Vancouver,Toronto,1.0,0.5,1.0
