,,,efficacy_success,efficacy_success,efficacy_success,paraphrase_success,paraphrase_success,paraphrase_success,neighborhood_specificity,neighborhood_specificity,neighborhood_specificity,composite_score,composite_score,composite_score
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
method,batch_size,replay_rate,,,,,,,,,,,,
<<<<<<< HEAD
memit,32,0.0,0.975,,1,0.8875,,1,0.7360000000000001,,1,0.8661666666666666,,1
rome,1,0.0,0.705,,1,0.7,,1,0.5209999999999999,,1,0.6419999999999999,,1
=======
emmet,32,0.0,0.992,,1,0.944,,1,0.6356,,1,0.8572000000000001,,1
memit,32,0.0,0.968,,1,0.875,,1,0.718,,1,0.8536666666666667,,1
rome,1,0.0,0.59,0.0,2,0.562,0.0,2,0.5067999999999999,0.0,2,0.5529333333333334,0.0,2
>>>>>>> 4fb0aa6 (Add new metrics and trust event files for baseline comparison)
