example_id,subject,target_new,target_true,efficacy_score,paraphrase_score,neighborhood_score
0,Angola,Antarctica,Africa,1.0,0.0,1.0
1,Shanghai,Dresden,Barcelona,0.0,0.0,0.8
2,2011 Cannes Film Festival,Prescott,Cannes,1.0,0.5,1.0
3,Delta Goodrem,India,Australia,1.0,1.0,1.0
4,Google Patents,Microsoft,Google,1.0,1.0,1.0
5,Lady Gaga,violin,piano,1.0,1.0,0.2
6,Cologne,Cairo,Beijing,1.0,0.5,0.8
7,Institut Polaire,Budapest,Perth,1.0,1.0,0.4
8,Allegro Non Troppo,Serbian,Italian,1.0,1.0,1.0
9,Thenewno2,Leicester,London,1.0,0.5,1.0
10,Lewin Brzeski,Norway,Poland,1.0,0.0,1.0
11,Charles Lang Freer House,Somerset,Detroit,1.0,1.0,1.0
12,Sunday Night Baseball,CBS,ESPN,1.0,1.0,0.8
13,Larry Stabbins,Chicago,Bristol,1.0,1.0,0.0
14,Marco Pannella,Moscow,Rome,1.0,1.0,1.0
15,Bob Mason,midfielder,goaltender,1.0,1.0,0.4
16,Bernard Giraudeau,Polish,French,1.0,1.0,1.0
17,The Constellations,Calgary,Atlanta,1.0,1.0,0.8
18,christian worship,Islam,Christianity,1.0,1.0,0.4
19,Elizabeth Boleyn, Countess of Wiltshire,Egypt,Norfolk,1.0,0.0,0.6
20,Oak Street Beach,Amazon,Chicago,1.0,1.0,0.8
21,Guillaumes,Norway,France,1.0,1.0,1.0
22,Five Star Krishna,comedian,actor,0.0,1.0,0.8
23,Mandailing language,Poland,Indonesia,1.0,0.5,0.6
24,Allan Warren,Spanish,English,1.0,1.0,1.0
25,Dick Radatz,midfielder,pitcher,1.0,1.0,0.6
26,Louis McLane,Barcelona,Baltimore,1.0,1.0,0.8
27,Sinclair Radionics,London,Cambridge,1.0,1.0,0.0
28,KKBQ,Miami,Texas,1.0,1.0,1.0
29,Princeton University Press,Beirut,Princeton,1.0,1.0,0.6
30,Toei Company,Birmingham,Tokyo,1.0,0.5,0.6
31,Interstate 255,Vienna,Illinois,1.0,1.0,1.0
32,Johannes Schilling,Paris,Dresden,1.0,1.0,0.0
33,Edina High School,Pennsylvania,Minnesota,1.0,0.0,0.8
34,Tom McCall Waterfront Park,Victoria,Oregon,1.0,1.0,0.6
35,Austin Currie,Canada,Ireland,1.0,1.0,0.6
36,omphacite,Peter,grape,1.0,1.0,0.0
37,Space Sentinels,BBC,NBC,1.0,1.0,0.8
38,CBS Sports Spectacular,PBS,CBS,1.0,1.0,0.8
39,Kazi Nazrul Islam,Sudan,Bangladesh,1.0,0.5,1.0
40,Jens Evensen,Ireland,Norway,1.0,1.0,1.0
41,Persian Risk,Edmonton,Cardiff,1.0,0.5,0.4
42,North Side Gang,Belfast,Chicago,0.0,0.0,0.8
43,Justin Fleming,Cardiff,Sydney,1.0,1.0,0.8
44,The Bronx Is Burning,CNN,ESPN,1.0,1.0,1.0
45,Patrick Colquhoun,Guam,London,1.0,1.0,1.0
46,Nintendo Software Planning & Development,Chicago,Nintendo,1.0,1.0,0.8
47,Hilary Putnam,actor,philosopher,1.0,1.0,0.4
48,Michel Poniatowski,Spanish,French,1.0,1.0,1.0
49,Ludwig Klages,chemistry,psychology,1.0,1.0,0.2
50,Washington McLean,Detroit,Cincinnati,1.0,1.0,1.0
51,George Cadogan, 5th Earl Cadogan,Minneapolis,London,0.0,0.5,1.0
52,Norway,Rome,Oslo,1.0,0.0,1.0
53,Hans Bol,Rome,Amsterdam,1.0,1.0,1.0
54,Ivar Antonsen,guitar,piano,1.0,1.0,0.8
55,Steve Yzerman,football,hockey,1.0,1.0,0.6
56,Northwest Branch Anacostia River,Ontario,Maryland,1.0,1.0,0.2
57,Alston G. Dayton,actor,politician,1.0,1.0,0.2
58,Alain Mabanckou,Swedish,French,1.0,1.0,0.8
59,Maurice Schutz,Russian,French,1.0,1.0,0.8
60,Siri,IBM,Apple,1.0,0.5,0.8
61,Abiel Smith School,Arizona,Boston,0.0,1.0,1.0
62,Cigoli,actor,architect,1.0,1.0,1.0
63,Neuburg Peak,Europe,Antarctica,1.0,1.0,0.2
64,Orpheus Island National Park,Italy,Australia,1.0,1.0,1.0
65,Dino Saluzzi,actor,composer,1.0,1.0,0.4
66,Cumberland University,Cardiff,Tennessee,1.0,1.0,1.0
67,Desejos de Mulher,Poland,Brazil,1.0,1.0,0.6
68,Thiruda Thirudi,English,Tamil,1.0,1.0,0.6
69,Mount Hallgren,Africa,Antarctica,1.0,1.0,0.4
70,Ticino,Swedish,Italian,1.0,1.0,1.0
71,Nintendo Software Planning & Development,Paris,Japan,1.0,1.0,1.0
72,Simdega,Libya,India,1.0,1.0,1.0
73,Baal Shem of London,French,Hebrew,0.0,0.0,0.6
74,Orchidea De Santis,Spanish,Italian,1.0,1.0,1.0
75,Jimdo,Jakarta,Hamburg,1.0,1.0,0.8
76,Selma Kurz,London,Vienna,1.0,1.0,0.4
77,Bituin,Japan,Philippines,1.0,1.0,0.2
78,Pelagius II,Shah,pope,0.0,0.0,1.0
79,Henri Queuille,English,French,1.0,1.0,0.2
80,Ma Rainey,Fantasy,Paramount,1.0,1.0,0.8
81,Luca Pacioli,physics,mathematics,1.0,1.0,1.0
82,Split Airport,Sweden,Split,1.0,1.0,0.4
83,Aram Khachaturian,Berlin,Moscow,1.0,0.5,0.6
84,Ferrari Berlinetta Boxer,Cadillac,Ferrari,1.0,1.0,1.0
85,Arnie Herber,midfielder,quarterback,1.0,1.0,0.4
86,Junichi Suwabe,Nottingham,Tokyo,1.0,1.0,1.0
87,Chevrolet Corvette C5-R,Atari,Chevrolet,1.0,1.0,1.0
88,Rudolf Viest,Norway,Slovakia,1.0,1.0,0.6
89,World Association of Girl Guides and Girl Scouts,Barcelona,London,1.0,1.0,1.0
90,Valentin Conrart,English,French,1.0,0.5,0.8
91,The Postal Service,Toronto,Seattle,1.0,1.0,0.6
92,Thomas Laird Kennedy,France,Canada,1.0,1.0,1.0
93,Vistula,Antarctica,Europe,1.0,1.0,1.0
94,Barney Balaban,Ottawa,Chicago,1.0,1.0,1.0
95,Arundel Formation,Illinois,Maryland,1.0,1.0,0.6
96,Giovanni Maria Nanino,astronaut,composer,1.0,1.0,1.0
97,American Samoa,Swedish,English,1.0,1.0,1.0
98,Alain de Benoist,Sanskrit,French,1.0,1.0,1.0
99,Jamshedpur,English,Hindi,1.0,1.0,0.8
100,Eureka Brass Band,opera,jazz,1.0,0.5,1.0
101,Samuel Naumbourg,London,Paris,1.0,1.0,1.0
102,Aldus Manutius,Berlin,Venice,1.0,1.0,0.2
103,Carl Ritter,physics,geography,1.0,1.0,0.2
104,The Phil Silvers Show,NBC,CBS,1.0,1.0,0.4
105,Marie Dorval,Chinese,French,0.0,0.0,1.0
106,Kuusamo,Swedish,Finnish,1.0,1.0,0.4
107,Sangamam,Spain,India,1.0,1.0,0.8
108,Glastonbury Lake Village,London,Somerset,1.0,1.0,0.4
109,Anson Funderburgh,violin,guitar,1.0,1.0,0.6
110,DJ Die,Madrid,Devon,1.0,1.0,0.4
111,Philippine Lotto Draw,Italy,Philippines,1.0,1.0,0.4
112,Cyberdog,Sega,Apple,1.0,1.0,1.0
113,Eric Partridge,Armenian,English,1.0,0.5,1.0
114,Manuel Ferraz de Campos Sales,Spain,Brazil,1.0,1.0,0.4
115,Juan Carlos Garrido,French,Spanish,1.0,0.0,1.0
116,Jean-Louis Barrault,Dutch,French,1.0,1.0,1.0
117,PGM-11 Redstone,Nissan,Chrysler,1.0,1.0,0.8
118,Gran Trak 10,Sega,Atari,1.0,0.5,0.4
119,Loviisa,Italian,Swedish,1.0,1.0,1.0
120,Event Viewer,IBM,Microsoft,1.0,0.5,0.6
121,The Honeymooners,NBC,CBS,1.0,1.0,0.8
122,Ouest-France,Spanish,French,1.0,1.0,0.6
123,New Club, Edinburgh,Rome,Edinburgh,1.0,0.0,0.6
124,68th Venice International Film Festival,Wales,Venice,1.0,1.0,1.0
125,Sheryl Crow,trumpet,guitar,1.0,1.0,0.8
126,The Barbara Stanwyck Show,CBS,NBC,1.0,1.0,0.4
127,Porsche Panamera,BMW,Porsche,1.0,1.0,0.0
128,Leonard Cohen,trumpet,guitar,1.0,1.0,1.0
129,Wood Gundy,Vancouver,Toronto,1.0,1.0,1.0
130,The Woodentops,Moscow,London,1.0,1.0,0.8
131,IBM Network Control Program,Boeing,IBM,1.0,0.0,1.0
132,Kukri Hills,Asia,Antarctica,1.0,1.0,0.2
133,International Istanbul Film Festival,Houston,Istanbul,1.0,1.0,1.0
134,Crownies,Sweden,Australia,1.0,1.0,0.6
135,Mount Carmel,Munich,Illinois,1.0,1.0,1.0
136,Aloha Stadium,BBC,Hawaii,1.0,0.5,1.0
137,Pietro Fanna,goaltender,midfielder,1.0,1.0,1.0
138,Nevada Bachelors,Sheffield,Seattle,1.0,1.0,1.0
139,Kalyan Kumar,Jerusalem,Bangalore,1.0,0.5,0.8
140,Henrique Maximiano Coelho Neto,Norway,Brazil,1.0,1.0,0.4
141,Clayton Kershaw,football,baseball,1.0,1.0,1.0
142,Leo Villareal,Boston,Albuquerque,1.0,1.0,0.0
143,Francesco Bolzoni,quarterback,midfielder,1.0,1.0,0.8
