example_id,subject,target_new,target_true,efficacy_score,paraphrase_score,neighborhood_score
0,Angola,Antarctica,Africa,0.0,0.0,1.0
1,Shanghai,Dresden,Barcelona,1.0,0.5,1.0
2,2011 Cannes Film Festival,Prescott,Cannes,1.0,0.0,0.6
3,Delta Goodrem,India,Australia,0.0,0.5,0.4
4,Google Patents,Microsoft,Google,1.0,0.5,0.2
5,Lady Gaga,violin,piano,1.0,0.0,1.0
6,Cologne,Cairo,Beijing,0.0,0.0,1.0
7,Institut Polaire,Budapest,Perth,0.0,0.5,0.6
8,Allegro Non Troppo,Serbian,Italian,1.0,1.0,0.2
9,Thenewno2,Leicester,London,0.0,0.0,1.0
10,Lewin Brzeski,Norway,Poland,1.0,0.0,1.0
11,Charles Lang Freer House,Somerset,Detroit,0.0,0.0,1.0
12,Sunday Night Baseball,CBS,ESPN,0.0,0.5,0.8
13,Larry Stabbins,Chicago,Bristol,1.0,1.0,0.2
14,Marco Pannella,Moscow,Rome,1.0,1.0,0.0
15,Bob Mason,midfielder,goaltender,0.0,1.0,0.6
16,Bernard Giraudeau,Polish,French,1.0,0.5,0.8
17,The Constellations,Calgary,Atlanta,0.0,1.0,0.6
18,christian worship,Islam,Christianity,0.0,0.5,0.4
19,Elizabeth Boleyn, Countess of Wiltshire,Egypt,Norfolk,1.0,1.0,0.2
20,Oak Street Beach,Amazon,Chicago,1.0,1.0,0.4
21,Guillaumes,Norway,France,1.0,1.0,0.4
22,Five Star Krishna,comedian,actor,0.0,0.5,1.0
23,Mandailing language,Poland,Indonesia,1.0,1.0,0.0
24,Allan Warren,Spanish,English,1.0,0.0,0.4
25,Dick Radatz,midfielder,pitcher,1.0,0.0,0.2
26,Louis McLane,Barcelona,Baltimore,0.0,1.0,0.6
27,Sinclair Radionics,London,Cambridge,1.0,1.0,0.0
28,KKBQ,Miami,Texas,1.0,1.0,0.4
29,Princeton University Press,Beirut,Princeton,1.0,1.0,0.2
30,Toei Company,Birmingham,Tokyo,0.0,0.5,0.8
31,Interstate 255,Vienna,Illinois,1.0,1.0,0.0
32,Johannes Schilling,Paris,Dresden,0.0,0.5,0.6
33,Edina High School,Pennsylvania,Minnesota,1.0,0.5,0.6
34,Tom McCall Waterfront Park,Victoria,Oregon,1.0,1.0,0.2
35,Austin Currie,Canada,Ireland,1.0,1.0,0.0
36,omphacite,Peter,grape,1.0,1.0,0.0
37,Space Sentinels,BBC,NBC,1.0,1.0,0.2
38,CBS Sports Spectacular,PBS,CBS,0.0,0.5,0.8
39,Kazi Nazrul Islam,Sudan,Bangladesh,1.0,0.0,1.0
40,Jens Evensen,Ireland,Norway,0.0,0.5,0.4
41,Persian Risk,Edmonton,Cardiff,1.0,0.5,0.4
42,North Side Gang,Belfast,Chicago,1.0,1.0,0.6
43,Justin Fleming,Cardiff,Sydney,0.0,0.0,0.6
44,The Bronx Is Burning,CNN,ESPN,0.0,0.0,0.8
45,Patrick Colquhoun,Guam,London,0.0,0.0,1.0
46,Nintendo Software Planning & Development,Chicago,Nintendo,0.0,0.0,0.8
47,Hilary Putnam,actor,philosopher,1.0,0.5,0.6
48,Michel Poniatowski,Spanish,French,0.0,1.0,0.0
49,Ludwig Klages,chemistry,psychology,1.0,1.0,0.0
50,Washington McLean,Detroit,Cincinnati,0.0,0.5,0.6
51,George Cadogan, 5th Earl Cadogan,Minneapolis,London,0.0,0.0,1.0
52,Norway,Rome,Oslo,0.0,1.0,0.8
53,Hans Bol,Rome,Amsterdam,0.0,0.0,0.8
54,Ivar Antonsen,guitar,piano,1.0,0.5,0.6
55,Steve Yzerman,football,hockey,0.0,0.5,0.0
56,Northwest Branch Anacostia River,Ontario,Maryland,0.0,0.5,1.0
57,Alston G. Dayton,actor,politician,0.0,0.5,0.6
58,Alain Mabanckou,Swedish,French,0.0,0.5,0.6
59,Maurice Schutz,Russian,French,1.0,0.5,0.2
60,Siri,IBM,Apple,0.0,0.0,0.8
61,Abiel Smith School,Arizona,Boston,1.0,0.5,0.4
62,Cigoli,actor,architect,1.0,0.5,0.6
63,Neuburg Peak,Europe,Antarctica,1.0,1.0,0.0
64,Orpheus Island National Park,Italy,Australia,0.0,0.5,0.6
65,Dino Saluzzi,actor,composer,1.0,0.5,0.6
66,Cumberland University,Cardiff,Tennessee,1.0,0.5,0.2
67,Desejos de Mulher,Poland,Brazil,0.0,0.5,0.8
68,Thiruda Thirudi,English,Tamil,1.0,1.0,0.0
69,Mount Hallgren,Africa,Antarctica,1.0,1.0,0.0
70,Ticino,Swedish,Italian,0.0,0.0,1.0
71,Nintendo Software Planning & Development,Paris,Japan,0.0,0.5,0.6
72,Simdega,Libya,India,1.0,0.0,0.8
73,Baal Shem of London,French,Hebrew,1.0,1.0,0.0
74,Orchidea De Santis,Spanish,Italian,0.0,0.0,0.8
75,Jimdo,Jakarta,Hamburg,0.0,0.5,0.8
76,Selma Kurz,London,Vienna,0.0,0.5,0.8
77,Bituin,Japan,Philippines,1.0,1.0,0.0
78,Pelagius II,Shah,pope,0.0,1.0,0.6
79,Henri Queuille,English,French,1.0,0.5,0.4
80,Ma Rainey,Fantasy,Paramount,1.0,1.0,0.0
81,Luca Pacioli,physics,mathematics,1.0,0.5,0.6
82,Split Airport,Sweden,Split,1.0,0.5,0.2
83,Aram Khachaturian,Berlin,Moscow,1.0,0.5,0.6
84,Ferrari Berlinetta Boxer,Cadillac,Ferrari,0.0,0.5,0.8
85,Arnie Herber,midfielder,quarterback,0.0,0.0,0.6
86,Junichi Suwabe,Nottingham,Tokyo,0.0,0.0,1.0
87,Chevrolet Corvette C5-R,Atari,Chevrolet,1.0,0.0,0.2
88,Rudolf Viest,Norway,Slovakia,1.0,0.5,0.2
89,World Association of Girl Guides and Girl Scouts,Barcelona,London,0.0,0.5,1.0
90,Valentin Conrart,English,French,1.0,1.0,0.6
91,The Postal Service,Toronto,Seattle,1.0,0.5,0.2
92,Thomas Laird Kennedy,France,Canada,1.0,0.5,0.8
93,Vistula,Antarctica,Europe,0.0,0.0,1.0
94,Barney Balaban,Ottawa,Chicago,0.0,1.0,0.2
95,Arundel Formation,Illinois,Maryland,0.0,0.0,1.0
96,Giovanni Maria Nanino,astronaut,composer,1.0,0.5,1.0
97,American Samoa,Swedish,English,0.0,0.0,0.4
98,Alain de Benoist,Sanskrit,French,0.0,0.0,1.0
99,Jamshedpur,English,Hindi,1.0,1.0,0.4
100,Eureka Brass Band,opera,jazz,0.0,0.0,1.0
101,Samuel Naumbourg,London,Paris,1.0,0.0,0.6
102,Aldus Manutius,Berlin,Venice,1.0,1.0,0.2
103,Carl Ritter,physics,geography,1.0,1.0,0.2
104,The Phil Silvers Show,NBC,CBS,0.0,0.5,1.0
105,Marie Dorval,Chinese,French,1.0,0.0,0.4
106,Kuusamo,Swedish,Finnish,1.0,1.0,0.8
107,Sangamam,Spain,India,1.0,1.0,0.2
108,Glastonbury Lake Village,London,Somerset,1.0,1.0,0.0
109,Anson Funderburgh,violin,guitar,0.0,0.5,0.8
110,DJ Die,Madrid,Devon,1.0,1.0,0.2
111,Philippine Lotto Draw,Italy,Philippines,1.0,1.0,0.0
112,Cyberdog,Sega,Apple,0.0,0.0,0.8
113,Eric Partridge,Armenian,English,0.0,0.5,0.8
114,Manuel Ferraz de Campos Sales,Spain,Brazil,0.0,0.0,1.0
115,Juan Carlos Garrido,French,Spanish,1.0,0.5,0.4
116,Jean-Louis Barrault,Dutch,French,0.0,1.0,0.6
117,PGM-11 Redstone,Nissan,Chrysler,1.0,1.0,0.0
118,Gran Trak 10,Sega,Atari,1.0,0.0,0.2
119,Loviisa,Italian,Swedish,1.0,1.0,0.0
120,Event Viewer,IBM,Microsoft,0.0,0.5,1.0
121,The Honeymooners,NBC,CBS,0.0,0.5,0.6
122,Ouest-France,Spanish,French,1.0,1.0,0.2
123,New Club, Edinburgh,Rome,Edinburgh,1.0,1.0,0.0
124,68th Venice International Film Festival,Wales,Venice,0.0,0.5,0.6
125,Sheryl Crow,trumpet,guitar,1.0,1.0,0.2
126,The Barbara Stanwyck Show,CBS,NBC,1.0,0.5,0.2
127,Porsche Panamera,BMW,Porsche,0.0,0.0,0.8
128,Leonard Cohen,trumpet,guitar,0.0,0.5,0.2
129,Wood Gundy,Vancouver,Toronto,1.0,1.0,0.4
130,The Woodentops,Moscow,London,1.0,1.0,0.2
131,IBM Network Control Program,Boeing,IBM,1.0,1.0,0.2
132,Kukri Hills,Asia,Antarctica,1.0,1.0,0.0
133,International Istanbul Film Festival,Houston,Istanbul,1.0,0.5,0.8
134,Crownies,Sweden,Australia,1.0,0.0,0.4
135,Mount Carmel,Munich,Illinois,1.0,1.0,0.0
136,Aloha Stadium,BBC,Hawaii,1.0,1.0,0.2
137,Pietro Fanna,goaltender,midfielder,1.0,0.5,0.6
138,Nevada Bachelors,Sheffield,Seattle,1.0,0.0,1.0
139,Kalyan Kumar,Jerusalem,Bangalore,1.0,0.5,0.2
140,Henrique Maximiano Coelho Neto,Norway,Brazil,0.0,0.0,0.8
141,Clayton Kershaw,football,baseball,1.0,1.0,0.0
142,Leo Villareal,Boston,Albuquerque,1.0,1.0,0.0
143,Francesco Bolzoni,quarterback,midfielder,1.0,0.5,0.2
144,iPod shuffle,Sega,Apple,0.0,1.0,1.0
145,Benny Golson,sitcom,jazz,0.0,0.0,1.0
146,Lionel Messi,Netherlands,Argentina,1.0,0.5,0.4
147,Syed Kalbe Hussain,Buddhism,Islam,0.0,0.5,0.8
148,Riky Rick,journalist,actor,1.0,1.0,0.0
149,Iruma Air Base,Greece,Japan,0.0,0.0,0.6
150,John Henry Poynting,mathematics,physics,1.0,0.5,0.4
151,Eduardo Zaplana,Munich,Madrid,1.0,0.5,0.4
152,Hiroshi Hase,composer,politician,1.0,1.0,0.2
153,Pierre Soulages,Hamburg,Paris,1.0,1.0,0.2
154,World Series Cricket,India,Australia,1.0,0.5,0.4
155,Federated States of Micronesia,Russian,English,1.0,0.5,0.4
156,scientific method,anthropology,science,0.0,0.0,1.0
157,London International Airport,Hamburg,London,0.0,0.5,0.4
158,Mykolaiv Oblast,Russian,Ukrainian,0.0,1.0,0.6
159,New Democratic Party Socialist Caucus,India,Canada,0.0,0.5,0.4
160,cepelinai,Norway,Lithuania,0.0,0.5,0.4
161,Minamoto no Sanetomo,India,Japan,1.0,0.5,0.4
