example_id,subject,target_new,target_true,efficacy_score,paraphrase_score,neighborhood_score
0,Nicholas Fairbairn,Vienna,London,1.0,1.0,1.0
1,Alston G. Dayton,actor,politician,1.0,1.0,0.2
2,Sunday Night Baseball,CBS,ESPN,1.0,1.0,0.8
3,Primorsky Krai,Antarctica,Asia,1.0,1.0,1.0
4,Henrique Maximiano Coelho Neto,Norway,Brazil,1.0,1.0,0.0
5,Sheryl Crow,trumpet,guitar,1.0,1.0,0.6
6,Manuel Ferraz de Campos Sales,Spain,Brazil,1.0,1.0,0.6
7,Nintendo Software Planning & Development,Paris,Japan,1.0,1.0,0.8
8,Karim Abdul Razak,outfielder,midfielder,1.0,1.0,1.0
9,Norway,Rome,Oslo,1.0,1.0,0.2
10,Opeth,Italy,Sweden,1.0,1.0,1.0
11,Nadia Boulanger,Hindi,French,1.0,0.5,1.0
12,Merisant,Montreal,Chicago,1.0,1.0,1.0
13,Wallace Carothers,musician,chemistry,1.0,1.0,0.8
14,The Bronx Is Burning,CNN,ESPN,1.0,1.0,0.8
15,Cloud Nothings,Belgium,Cleveland,1.0,1.0,0.6
16,Antonio Vivaldi,jazz,opera,1.0,1.0,0.4
17,Bernard Giraudeau,Polish,French,1.0,1.0,1.0
18,Bob Mason,midfielder,goaltender,1.0,1.0,0.2
19,Hilary Putnam,actor,philosopher,1.0,1.0,0.4
20,Philippine Lotto Draw,Italy,Philippines,1.0,1.0,0.2
21,Loviisa,Italian,Swedish,1.0,1.0,1.0
22,United States Patent and Trademark Office,Charlotte,Alexandria,1.0,1.0,0.8
23,Paul Brill,Miami,Rome,1.0,1.0,0.6
24,Larry Stabbins,Chicago,Bristol,1.0,1.0,0.0
25,Upper Canada District School Board,Nevada,Ontario,1.0,1.0,1.0
26,Samuel Naumbourg,London,Paris,1.0,1.0,0.8
27,Windows Mobile 6.5,Apple,Microsoft,1.0,1.0,0.8
28,Gantz,Australia,Japan,1.0,1.0,1.0
29,Bentley Continental,Toyota,Bentley,1.0,1.0,0.0
30,Joao Plata,quarterback,forward,1.0,1.0,0.8
31,Passer à l'acte,Georgian,French,1.0,1.0,1.0
32,Cyberdog,Sega,Apple,1.0,1.0,1.0
33,Rudolph Isley,London,Cincinnati,1.0,1.0,0.0
34,Windows Embedded Automotive,Sega,Microsoft,1.0,1.0,1.0
35,Leo Villareal,Boston,Albuquerque,1.0,1.0,0.0
36,Trevor Dunn,politician,composer,1.0,1.0,0.6
37,Shunyi Olympic Rowing-Canoeing Park,Kuwait,Beijing,1.0,1.0,1.0
38,Delta Goodrem,India,Australia,1.0,1.0,0.8
39,Yutaka Abe,Chicago,Kyoto,1.0,1.0,0.8
40,Honda Civic Hybrid,Volvo,Honda,1.0,1.0,1.0
41,Luca Pacioli,physics,mathematics,1.0,1.0,0.8
42,Halvor Schou,Sacramento,Oslo,1.0,1.0,0.8
43,John James Rickard Macleod,psychology,physiology,1.0,1.0,0.2
44,Pittsburgh,Budapest,Sheffield,1.0,1.0,0.0
45,Bertrand Russell,Chinese,English,1.0,1.0,1.0
46,Henri Queuille,English,French,1.0,1.0,0.2
47,DJ Die,Madrid,Devon,1.0,1.0,0.0
48,Thoranai,English,Tamil,1.0,1.0,0.6
49,Georgina Leonidas,composer,actor,1.0,1.0,0.8
50,Jean Bourdichon,English,French,1.0,1.0,0.4
51,Bayazid Bastami,Christianity,Islam,1.0,0.5,0.4
52,Turkmenistan,Antarctica,Asia,1.0,1.0,1.0
53,Ludwig Klages,chemistry,psychology,1.0,1.0,0.6
54,Gentle Ben,Netflix,CBS,1.0,1.0,0.8
55,Melbourne Airport,Peter,Melbourne,1.0,1.0,0.0
56,John Huarte,midfielder,quarterback,1.0,1.0,1.0
57,The Good Heart,Australia,Iceland,1.0,1.0,0.0
58,Mount Carmel,Munich,Illinois,1.0,1.0,1.0
59,Democrats 66,Azerbaijan,Netherlands,1.0,0.5,1.0
60,Five Star Krishna,comedian,actor,1.0,1.0,0.8
61,Sommariva del Bosco,Egypt,Italy,1.0,1.0,1.0
62,Nahum Sokolow,English,Hebrew,1.0,1.0,0.6
63,Manila,Cologne,Shanghai,1.0,0.5,0.2
64,Neuburg Peak,Europe,Antarctica,1.0,1.0,0.2
65,Jim Pugliese,anthology,jazz,1.0,0.5,1.0
66,Jens Evensen,Ireland,Norway,1.0,1.0,1.0
67,Suzuki MR Wagon,Fiat,Suzuki,1.0,1.0,0.2
68,John Henry Poynting,mathematics,physics,1.0,1.0,0.0
69,Kyustendil Province,Russian,Bulgarian,1.0,1.0,0.4
70,Mary Garden,jazz,opera,1.0,1.0,0.2
71,Fenn Tower,Providence,Ohio,1.0,0.5,1.0
72,Peter Jason,model,actor,1.0,1.0,0.6
73,Versoix,Finnish,French,1.0,1.0,1.0
74,Alain de Benoist,Sanskrit,French,1.0,1.0,1.0
75,Arthur Griffith,Philadelphia,Dublin,1.0,1.0,0.4
76,Austin Currie,Canada,Ireland,1.0,1.0,0.6
77,Mandailing language,Poland,Indonesia,1.0,1.0,0.6
78,Rogers Radio,Chicago,Toronto,1.0,1.0,0.8
79,Jean-Louis Barrault,Dutch,French,1.0,1.0,1.0
80,Kuala Lumpur,Seoul,Ankara,1.0,1.0,0.6
81,Riky Rick,journalist,actor,1.0,1.0,0.4
82,Cincinnati,Rome,Munich,1.0,1.0,0.2
83,Baja Fresh,Copenhagen,Irvine,1.0,1.0,0.6
84,George Cadogan, 5th Earl Cadogan,Minneapolis,London,1.0,1.0,1.0
85,Cutie Honey,Finland,Japan,1.0,1.0,1.0
86,Enhanced Music,opera,trance,1.0,1.0,0.2
87,Antoine Houdar de La Motte,Florence,Paris,1.0,1.0,1.0
88,Marc Lavoie,France,Canada,1.0,1.0,0.2
89,Peter Kassovitz,Dutch,French,1.0,1.0,1.0
90,Aram Khachaturian,Berlin,Moscow,1.0,1.0,0.6
91,Jean Chiappe,Russian,French,1.0,1.0,0.8
92,Avie Bennett,Belfast,Toronto,1.0,1.0,0.4
93,Sangamam,Spain,India,1.0,1.0,0.8
94,Subotica,Tokyo,Budapest,1.0,1.0,0.4
95,Aloha Stadium,BBC,Hawaii,1.0,1.0,1.0
96,Daejeon,Istanbul,Brisbane,1.0,1.0,0.2
97,Istanbul University,Oxford,Istanbul,1.0,1.0,1.0
98,The Miser,English,French,1.0,1.0,0.2
99,omphacite,Peter,grape,1.0,1.0,0.0
100,Johann Christian Bach,jazz,opera,1.0,1.0,0.0
101,Bert Sakmann,mathematics,physiology,1.0,1.0,0.0
102,Chevrolet Corvette C5-R,Atari,Chevrolet,1.0,1.0,1.0
103,Jo Berger Myhre,Australia,Norway,1.0,1.0,1.0
104,The Who,Paramount,Brunswick,1.0,1.0,0.2
105,Sonny Boy Williamson I,opera,blues,1.0,0.0,0.6
106,Innocent II,bishop,pope,1.0,0.5,0.0
107,British Guiana,Manila,Georgetown,1.0,1.0,0.4
108,The Nylons,Turkey,Canada,1.0,1.0,1.0
109,Nevada Bachelors,Sheffield,Seattle,1.0,1.0,0.6
110,Cadillac V-12,Apple,Cadillac,1.0,1.0,1.0
111,Dmitri Nabokov,Baltimore,Berlin,1.0,1.0,1.0
112,Pius II,bishop,pope,1.0,1.0,0.6
113,Final Fantasy V,Microsoft,Square,1.0,1.0,0.4
114,Iliana Fox,novelist,actor,1.0,0.5,1.0
115,Juan de Espinosa Medrano,French,Spanish,1.0,0.5,0.8
116,KKBQ,Miami,Texas,1.0,1.0,1.0
117,PGM-11 Redstone,Nissan,Chrysler,1.0,1.0,0.6
118,Republic of Venice,Spanish,Italian,1.0,1.0,0.8
119,Minamoto no Sanetomo,India,Japan,1.0,1.0,0.6
120,Everberg,Australia,Belgium,1.0,1.0,1.0
121,Pietro Fanna,goaltender,midfielder,1.0,1.0,1.0
122,Edina High School,Pennsylvania,Minnesota,1.0,1.0,1.0
123,Glastonbury Lake Village,London,Somerset,1.0,1.0,0.0
124,Lincoln Square Synagogue,Vancouver,Manhattan,1.0,1.0,0.4
125,Gunnar Thoresen,Denmark,Norway,1.0,1.0,0.4
126,Warwick School,Paris,Warwick,1.0,1.0,0.2
127,Dodge Avenger,Honda,Dodge,1.0,1.0,0.0
128,Amānullāh Khān,Buddhism,Islam,1.0,1.0,0.6
129,Chicago Rockets,Singapore,Chicago,1.0,1.0,0.8
130,Firuz Shah Tughlaq,Buddhism,Islam,1.0,1.0,0.8
131,Claude Bernard,Rome,Paris,1.0,1.0,0.8
132,Mount Steere,Europe,Antarctica,1.0,1.0,0.8
133,Baal Shem of London,French,Hebrew,1.0,1.0,0.6
134,Nelson Valdez,hockey,soccer,1.0,1.0,1.0
135,Bob Shacochis,politician,novelist,1.0,1.0,1.0
136,The Barbara Stanwyck Show,CBS,NBC,1.0,1.0,0.4
137,Friedrich Hirzebruch,physics,mathematics,1.0,1.0,1.0
138,Kondura,Croatian,Hindi,1.0,1.0,0.8
139,Crownies,Sweden,Australia,1.0,1.0,0.6
140,Raisio,Spanish,Finnish,1.0,1.0,0.6
141,Mick Lally,Korean,Irish,1.0,1.0,1.0
142,Lena Yada,BBC,WWE,1.0,1.0,0.4
143,Airbus A350,Adobe,Airbus,1.0,1.0,0.0
144,Alex Sipiagin,trance,jazz,1.0,1.0,1.0
145,Aleksandr Ptushko,French,Russian,1.0,1.0,1.0
146,Ticino,Swedish,Italian,1.0,1.0,1.0
147,Game & Watch,Toyota,Nintendo,1.0,1.0,1.0
148,Halchidhoma,Iceland,California,1.0,1.0,1.0
149,Nintendo Software Planning & Development,Chicago,Nintendo,1.0,1.0,0.6
150,Allan Warren,Spanish,English,1.0,1.0,1.0
151,Northwest Branch Anacostia River,Ontario,Maryland,1.0,1.0,0.8
152,Pelagius II,Shah,pope,1.0,1.0,0.8
153,Margaret Walker,Vienna,Chicago,1.0,1.0,1.0
154,European Physical Society,psychology,physics,1.0,1.0,0.4
155,Gene Martynec,Baltimore,Germany,1.0,1.0,1.0
156,Johann Andreas Schmeller,Philadelphia,Munich,1.0,1.0,0.8
157,Johannes Schilling,Paris,Dresden,1.0,1.0,0.0
158,Francis X. DiLorenzo,pope,bishop,1.0,1.0,0.4
159,Germany,FIFA,NATO,1.0,1.0,0.2
160,John Willie,French,English,1.0,1.0,1.0
161,Sue Lyon,poet,actor,1.0,1.0,0.4
162,Greenwich Park,Edinburgh,Greenwich,1.0,1.0,0.2
163,Leonard Cohen,trumpet,guitar,1.0,1.0,1.0
164,Roy Orbison,Baltimore,Vernon,1.0,1.0,0.0
165,Lady Gaga,violin,piano,1.0,1.0,0.6
166,Alain Mabanckou,Swedish,French,1.0,1.0,1.0
167,Blue Heelers,Belgium,Australia,1.0,1.0,1.0
168,Gidon Kremer,piano,violin,1.0,1.0,0.2
169,Shmuel HaNavi bus bombing,London,Jerusalem,1.0,1.0,0.4
170,Goa,Europe,Asia,1.0,1.0,0.4
171,Urban V,cardinal,pope,1.0,1.0,1.0
172,Amy Prentiss,CBS,NBC,1.0,1.0,0.2
173,Fouad Twal,Athens,Jerusalem,1.0,1.0,1.0
174,Ma Rainey,Fantasy,Paramount,1.0,1.0,1.0
175,Bose Institute,Brazil,India,1.0,1.0,0.8
176,Shanghai,Dresden,Barcelona,1.0,0.5,0.6
177,Anadol,Tokyo,Istanbul,1.0,1.0,0.8
178,Kalajoki,Chinese,Finnish,1.0,1.0,1.0
179,The Postal Service,Toronto,Seattle,1.0,1.0,0.6
180,Leopold Infeld,Moscow,Warsaw,1.0,1.0,0.4
181,Ivar Antonsen,guitar,piano,1.0,1.0,0.8
182,Hiroshi Hase,composer,politician,1.0,1.0,0.6
183,Czechoslovakia,Russian,Czech,1.0,0.5,0.4
184,Makoto Hasebe,goaltender,midfielder,1.0,1.0,1.0
185,Prince Edward Island,Ukrainian,English,1.0,0.5,1.0
186,Beatrice Hutton,journalist,architect,1.0,1.0,0.8
187,Byron Dafoe,quarterback,goaltender,1.0,1.0,0.4
188,Split Airport,Sweden,Split,1.0,1.0,0.4
189,Viacheslav Belavkin,English,Russian,1.0,1.0,1.0
190,Zune,Adobe,Microsoft,1.0,1.0,1.0
191,Angola,Antarctica,Africa,1.0,0.5,0.8
192,Jean Guillaume Moitte,Medina,Paris,1.0,1.0,1.0
193,Porsche 911,Honda,Porsche,1.0,1.0,0.0
194,Armand Marrast,Brisbane,Paris,1.0,1.0,1.0
195,Thenewno2,Leicester,London,1.0,1.0,1.0
196,Guilt Machine,Dublin,Netherlands,1.0,1.0,0.2
197,Northern Mariana Islands Football Association,WWE,FIFA,1.0,1.0,0.6
198,London International Airport,Hamburg,London,1.0,1.0,0.8
199,Ouest-France,Spanish,French,1.0,1.0,0.8
