example_id,subject,target_new,target_true,efficacy_score,paraphrase_score,neighborhood_score
0,Nicholas Fairbairn,Vienna,London,0.0,0.0,0.0
1,Alston G. Dayton,actor,politician,0.0,0.0,0.0
2,Sunday Night Baseball,CBS,ESPN,0.0,0.0,0.0
3,Primorsky Krai,Antarctica,Asia,0.0,0.0,0.0
4,Henrique Maximiano Coelho Neto,Norway,Brazil,0.0,0.0,0.0
5,Sheryl Crow,trumpet,guitar,0.0,0.0,0.0
6,Manuel Ferraz de Campos Sales,Spain,Brazil,0.0,0.0,0.0
7,Nintendo Software Planning & Development,Paris,Japan,0.0,0.0,0.0
8,Karim Abdul Razak,outfielder,midfielder,0.0,0.0,0.0
9,Norway,Rome,Oslo,0.0,0.0,0.0
10,Opeth,Italy,Sweden,0.0,0.0,0.0
11,Nadia Boulanger,Hindi,French,0.0,0.0,0.0
12,Merisant,Montreal,Chicago,0.0,0.0,0.0
13,Wallace Carothers,musician,chemistry,0.0,0.0,0.0
14,The Bronx Is Burning,CNN,ESPN,0.0,0.0,0.0
15,Cloud Nothings,Belgium,Cleveland,0.0,0.0,0.0
16,Antonio Vivaldi,jazz,opera,0.0,0.0,0.0
17,Bernard Giraudeau,Polish,French,0.0,0.0,0.0
18,Bob Mason,midfielder,goaltender,0.0,0.0,0.0
19,Hilary Putnam,actor,philosopher,0.0,0.0,0.0
20,Philippine Lotto Draw,Italy,Philippines,0.0,0.0,0.0
21,Loviisa,Italian,Swedish,0.0,0.0,0.0
22,United States Patent and Trademark Office,Charlotte,Alexandria,0.0,0.0,0.0
23,Paul Brill,Miami,Rome,0.0,0.0,0.0
24,Larry Stabbins,Chicago,Bristol,0.0,0.0,0.0
25,Upper Canada District School Board,Nevada,Ontario,0.0,0.0,0.0
26,Samuel Naumbourg,London,Paris,0.0,0.0,0.0
27,Windows Mobile 6.5,Apple,Microsoft,0.0,0.0,0.0
28,Gantz,Australia,Japan,0.0,0.0,0.0
29,Bentley Continental,Toyota,Bentley,0.0,0.0,0.0
30,Joao Plata,quarterback,forward,0.0,0.0,0.0
31,Passer à l'acte,Georgian,French,0.0,0.0,0.0
32,Cyberdog,Sega,Apple,0.0,0.0,0.0
33,Rudolph Isley,London,Cincinnati,0.0,0.0,0.0
34,Windows Embedded Automotive,Sega,Microsoft,0.0,0.0,0.0
35,Leo Villareal,Boston,Albuquerque,0.0,0.0,0.0
36,Trevor Dunn,politician,composer,0.0,0.0,0.0
37,Shunyi Olympic Rowing-Canoeing Park,Kuwait,Beijing,0.0,0.0,0.0
38,Delta Goodrem,India,Australia,0.0,0.0,0.0
39,Yutaka Abe,Chicago,Kyoto,0.0,0.0,0.0
40,Honda Civic Hybrid,Volvo,Honda,0.0,0.0,0.0
41,Luca Pacioli,physics,mathematics,0.0,0.0,0.0
42,Halvor Schou,Sacramento,Oslo,0.0,0.0,0.0
43,John James Rickard Macleod,psychology,physiology,0.0,0.0,0.0
44,Pittsburgh,Budapest,Sheffield,0.0,0.0,0.0
45,Bertrand Russell,Chinese,English,0.0,0.0,0.0
46,Henri Queuille,English,French,0.0,0.0,0.0
47,DJ Die,Madrid,Devon,0.0,0.0,0.0
48,Thoranai,English,Tamil,0.0,0.0,0.0
49,Georgina Leonidas,composer,actor,0.0,0.0,0.0
50,Jean Bourdichon,English,French,0.0,0.0,0.0
51,Bayazid Bastami,Christianity,Islam,0.0,0.0,0.0
52,Turkmenistan,Antarctica,Asia,0.0,0.0,0.0
53,Ludwig Klages,chemistry,psychology,0.0,0.0,0.0
54,Gentle Ben,Netflix,CBS,0.0,0.0,0.0
55,Melbourne Airport,Peter,Melbourne,0.0,0.0,0.0
56,John Huarte,midfielder,quarterback,0.0,0.0,0.0
57,The Good Heart,Australia,Iceland,0.0,0.0,0.0
58,Mount Carmel,Munich,Illinois,0.0,0.0,0.0
59,Democrats 66,Azerbaijan,Netherlands,0.0,0.0,0.0
60,Five Star Krishna,comedian,actor,0.0,0.0,0.0
61,Sommariva del Bosco,Egypt,Italy,0.0,0.0,0.0
62,Nahum Sokolow,English,Hebrew,0.0,0.0,0.0
63,Manila,Cologne,Shanghai,0.0,0.0,0.0
64,Neuburg Peak,Europe,Antarctica,0.0,0.0,0.0
65,Jim Pugliese,anthology,jazz,0.0,0.0,0.0
66,Jens Evensen,Ireland,Norway,0.0,0.0,0.0
67,Suzuki MR Wagon,Fiat,Suzuki,0.0,0.0,0.0
68,John Henry Poynting,mathematics,physics,0.0,0.0,0.0
69,Kyustendil Province,Russian,Bulgarian,0.0,0.0,0.0
70,Mary Garden,jazz,opera,0.0,0.0,0.0
71,Fenn Tower,Providence,Ohio,0.0,0.0,0.0
72,Peter Jason,model,actor,0.0,0.0,0.0
73,Versoix,Finnish,French,0.0,0.0,0.0
74,Alain de Benoist,Sanskrit,French,0.0,0.0,0.0
75,Arthur Griffith,Philadelphia,Dublin,0.0,0.0,0.0
76,Austin Currie,Canada,Ireland,0.0,0.0,0.0
77,Mandailing language,Poland,Indonesia,0.0,0.0,0.0
78,Rogers Radio,Chicago,Toronto,0.0,0.0,0.0
79,Jean-Louis Barrault,Dutch,French,0.0,0.0,0.0
80,Kuala Lumpur,Seoul,Ankara,0.0,0.0,0.0
81,Riky Rick,journalist,actor,0.0,0.0,0.0
82,Cincinnati,Rome,Munich,0.0,0.0,0.0
83,Baja Fresh,Copenhagen,Irvine,0.0,0.0,0.0
84,George Cadogan, 5th Earl Cadogan,Minneapolis,London,0.0,0.0,0.0
85,Cutie Honey,Finland,Japan,0.0,0.0,0.0
86,Enhanced Music,opera,trance,0.0,0.0,0.0
87,Antoine Houdar de La Motte,Florence,Paris,0.0,0.0,0.0
88,Marc Lavoie,France,Canada,0.0,0.0,0.0
89,Peter Kassovitz,Dutch,French,0.0,0.0,0.0
90,Aram Khachaturian,Berlin,Moscow,0.0,0.0,0.0
91,Jean Chiappe,Russian,French,0.0,0.0,0.0
92,Avie Bennett,Belfast,Toronto,0.0,0.0,0.0
93,Sangamam,Spain,India,0.0,0.0,0.0
94,Subotica,Tokyo,Budapest,0.0,0.0,0.0
95,Aloha Stadium,BBC,Hawaii,0.0,0.0,0.0
96,Daejeon,Istanbul,Brisbane,0.0,0.0,0.0
97,Istanbul University,Oxford,Istanbul,0.0,0.0,0.0
98,The Miser,English,French,0.0,0.0,0.0
99,omphacite,Peter,grape,0.0,0.0,0.0
100,Johann Christian Bach,jazz,opera,0.0,0.0,0.0
101,Bert Sakmann,mathematics,physiology,0.0,0.0,0.0
102,Chevrolet Corvette C5-R,Atari,Chevrolet,0.0,0.0,0.0
103,Jo Berger Myhre,Australia,Norway,0.0,0.0,0.0
104,The Who,Paramount,Brunswick,0.0,0.0,0.0
105,Sonny Boy Williamson I,opera,blues,0.0,0.0,0.0
106,Innocent II,bishop,pope,0.0,0.0,0.0
107,British Guiana,Manila,Georgetown,0.0,0.0,0.0
108,The Nylons,Turkey,Canada,0.0,0.0,0.0
109,Nevada Bachelors,Sheffield,Seattle,0.0,0.0,0.0
110,Cadillac V-12,Apple,Cadillac,0.0,0.0,0.0
111,Dmitri Nabokov,Baltimore,Berlin,0.0,0.0,0.0
112,Pius II,bishop,pope,0.0,0.0,0.0
113,Final Fantasy V,Microsoft,Square,0.0,0.0,0.0
114,Iliana Fox,novelist,actor,0.0,0.0,0.0
115,Juan de Espinosa Medrano,French,Spanish,0.0,0.0,0.0
116,KKBQ,Miami,Texas,0.0,0.0,0.0
117,PGM-11 Redstone,Nissan,Chrysler,0.0,0.0,0.0
118,Republic of Venice,Spanish,Italian,0.0,0.0,0.0
119,Minamoto no Sanetomo,India,Japan,0.0,0.0,0.0
120,Everberg,Australia,Belgium,0.0,0.0,0.0
121,Pietro Fanna,goaltender,midfielder,0.0,0.0,0.0
122,Edina High School,Pennsylvania,Minnesota,0.0,0.0,0.0
123,Glastonbury Lake Village,London,Somerset,0.0,0.0,0.0
124,Lincoln Square Synagogue,Vancouver,Manhattan,0.0,0.0,0.0
125,Gunnar Thoresen,Denmark,Norway,0.0,0.0,0.0
126,Warwick School,Paris,Warwick,0.0,0.0,0.0
127,Dodge Avenger,Honda,Dodge,0.0,0.0,0.0
128,Amānullāh Khān,Buddhism,Islam,0.0,0.0,0.0
129,Chicago Rockets,Singapore,Chicago,0.0,0.0,0.0
130,Firuz Shah Tughlaq,Buddhism,Islam,0.0,0.0,0.0
131,Claude Bernard,Rome,Paris,0.0,0.0,0.0
132,Mount Steere,Europe,Antarctica,0.0,0.0,0.0
133,Baal Shem of London,French,Hebrew,0.0,0.0,0.0
134,Nelson Valdez,hockey,soccer,0.0,0.0,0.0
135,Bob Shacochis,politician,novelist,0.0,0.0,0.0
136,The Barbara Stanwyck Show,CBS,NBC,0.0,0.0,0.0
137,Friedrich Hirzebruch,physics,mathematics,0.0,0.0,0.0
138,Kondura,Croatian,Hindi,0.0,0.0,0.0
139,Crownies,Sweden,Australia,0.0,0.0,0.0
140,Raisio,Spanish,Finnish,0.0,0.0,0.0
141,Mick Lally,Korean,Irish,0.0,0.0,0.0
142,Lena Yada,BBC,WWE,0.0,0.0,0.0
143,Airbus A350,Adobe,Airbus,0.0,0.0,0.0
144,Alex Sipiagin,trance,jazz,0.0,0.0,0.0
145,Aleksandr Ptushko,French,Russian,0.0,0.0,0.0
146,Ticino,Swedish,Italian,0.0,0.0,0.0
147,Game & Watch,Toyota,Nintendo,0.0,0.0,0.0
