example_id,subject,target_new,target_true,efficacy_score,paraphrase_score,neighborhood_score
0,Nicholas Fairbairn,Vienna,London,1.0,1.0,1.0
1,Alston G. Dayton,actor,politician,1.0,0.5,0.2
2,Sunday Night Baseball,CBS,ESPN,0.0,0.0,0.8
3,Primorsky Krai,Antarctica,Asia,0.0,0.5,1.0
4,Henrique Maximiano Coelho Neto,Norway,Brazil,0.0,0.0,0.6
5,Sheryl Crow,trumpet,guitar,1.0,0.0,0.8
6,Manuel Ferraz de Campos Sales,Spain,Brazil,1.0,1.0,0.6
7,Nintendo Software Planning & Development,Paris,Japan,1.0,1.0,1.0
8,Karim Abdul Razak,outfielder,midfielder,0.0,0.0,1.0
9,Norway,Rome,Oslo,1.0,0.0,1.0
10,Opeth,Italy,Sweden,1.0,1.0,1.0
11,Nadia Boulanger,Hindi,French,0.0,0.0,1.0
12,Merisant,Montreal,Chicago,1.0,1.0,1.0
13,Wallace Carothers,musician,chemistry,0.0,1.0,1.0
14,The Bronx Is Burning,CNN,ESPN,1.0,0.5,1.0
15,Cloud Nothings,Belgium,Cleveland,1.0,1.0,0.8
16,Antonio Vivaldi,jazz,opera,1.0,1.0,0.6
17,Bernard Giraudeau,Polish,French,1.0,1.0,1.0
18,Bob Mason,midfielder,goaltender,0.0,1.0,0.4
19,Hilary Putnam,actor,philosopher,0.0,0.5,0.6
20,Philippine Lotto Draw,Italy,Philippines,1.0,1.0,0.2
21,Loviisa,Italian,Swedish,1.0,1.0,1.0
22,United States Patent and Trademark Office,Charlotte,Alexandria,1.0,1.0,0.8
23,Paul Brill,Miami,Rome,1.0,1.0,0.4
24,Larry Stabbins,Chicago,Bristol,1.0,1.0,0.2
25,Upper Canada District School Board,Nevada,Ontario,0.0,0.0,0.8
26,Samuel Naumbourg,London,Paris,0.0,0.0,1.0
27,Windows Mobile 6.5,Apple,Microsoft,1.0,1.0,0.8
28,Gantz,Australia,Japan,1.0,0.5,1.0
29,Bentley Continental,Toyota,Bentley,1.0,1.0,0.2
30,Joao Plata,quarterback,forward,0.0,0.0,1.0
31,Passer à l'acte,Georgian,French,0.0,0.5,1.0
32,Cyberdog,Sega,Apple,0.0,1.0,1.0
33,Rudolph Isley,London,Cincinnati,1.0,1.0,0.0
34,Windows Embedded Automotive,Sega,Microsoft,0.0,0.0,1.0
35,Leo Villareal,Boston,Albuquerque,1.0,1.0,0.0
36,Trevor Dunn,politician,composer,1.0,1.0,0.6
37,Shunyi Olympic Rowing-Canoeing Park,Kuwait,Beijing,1.0,0.0,1.0
38,Delta Goodrem,India,Australia,0.0,0.0,1.0
39,Yutaka Abe,Chicago,Kyoto,1.0,0.5,0.8
40,Honda Civic Hybrid,Volvo,Honda,0.0,0.0,1.0
41,Luca Pacioli,physics,mathematics,0.0,0.0,1.0
42,Halvor Schou,Sacramento,Oslo,0.0,0.0,1.0
43,John James Rickard Macleod,psychology,physiology,1.0,0.5,0.0
44,Pittsburgh,Budapest,Sheffield,1.0,1.0,0.0
45,Bertrand Russell,Chinese,English,0.0,0.0,1.0
46,Henri Queuille,English,French,0.0,0.0,0.2
47,DJ Die,Madrid,Devon,1.0,1.0,0.0
48,Thoranai,English,Tamil,1.0,0.5,0.8
49,Georgina Leonidas,composer,actor,0.0,0.0,0.8
50,Jean Bourdichon,English,French,0.0,0.5,0.4
51,Bayazid Bastami,Christianity,Islam,0.0,0.0,0.8
52,Turkmenistan,Antarctica,Asia,1.0,0.5,1.0
53,Ludwig Klages,chemistry,psychology,1.0,0.5,0.6
54,Gentle Ben,Netflix,CBS,1.0,1.0,0.8
55,Melbourne Airport,Peter,Melbourne,1.0,1.0,0.0
56,John Huarte,midfielder,quarterback,1.0,1.0,0.8
57,The Good Heart,Australia,Iceland,1.0,1.0,0.0
58,Mount Carmel,Munich,Illinois,0.0,0.0,1.0
59,Democrats 66,Azerbaijan,Netherlands,0.0,0.5,1.0
60,Five Star Krishna,comedian,actor,0.0,0.0,0.8
61,Sommariva del Bosco,Egypt,Italy,0.0,0.0,1.0
62,Nahum Sokolow,English,Hebrew,1.0,0.5,0.6
63,Manila,Cologne,Shanghai,1.0,0.5,0.2
64,Neuburg Peak,Europe,Antarctica,1.0,0.5,0.6
65,Jim Pugliese,anthology,jazz,0.0,0.0,1.0
66,Jens Evensen,Ireland,Norway,0.0,0.0,1.0
67,Suzuki MR Wagon,Fiat,Suzuki,0.0,0.0,1.0
68,John Henry Poynting,mathematics,physics,1.0,0.5,0.2
69,Kyustendil Province,Russian,Bulgarian,1.0,1.0,0.4
70,Mary Garden,jazz,opera,1.0,1.0,0.0
71,Fenn Tower,Providence,Ohio,1.0,0.0,1.0
72,Peter Jason,model,actor,0.0,0.0,0.6
73,Versoix,Finnish,French,0.0,0.0,1.0
74,Alain de Benoist,Sanskrit,French,0.0,0.0,1.0
75,Arthur Griffith,Philadelphia,Dublin,1.0,1.0,0.6
76,Austin Currie,Canada,Ireland,1.0,1.0,0.6
77,Mandailing language,Poland,Indonesia,1.0,1.0,0.8
78,Rogers Radio,Chicago,Toronto,1.0,1.0,0.8
79,Jean-Louis Barrault,Dutch,French,1.0,1.0,1.0
80,Kuala Lumpur,Seoul,Ankara,1.0,1.0,0.8
81,Riky Rick,journalist,actor,0.0,1.0,0.4
82,Cincinnati,Rome,Munich,1.0,1.0,0.2
83,Baja Fresh,Copenhagen,Irvine,1.0,0.5,0.8
84,George Cadogan, 5th Earl Cadogan,Minneapolis,London,0.0,0.0,1.0
85,Cutie Honey,Finland,Japan,1.0,1.0,1.0
86,Enhanced Music,opera,trance,0.0,0.5,0.2
87,Antoine Houdar de La Motte,Florence,Paris,0.0,0.0,1.0
88,Marc Lavoie,France,Canada,0.0,0.0,0.8
89,Peter Kassovitz,Dutch,French,0.0,0.0,1.0
90,Aram Khachaturian,Berlin,Moscow,0.0,0.0,0.6
91,Jean Chiappe,Russian,French,1.0,1.0,0.8
92,Avie Bennett,Belfast,Toronto,0.0,0.0,0.6
93,Sangamam,Spain,India,0.0,0.0,0.8
94,Subotica,Tokyo,Budapest,0.0,0.0,0.8
95,Aloha Stadium,BBC,Hawaii,0.0,0.0,1.0
96,Daejeon,Istanbul,Brisbane,1.0,1.0,0.2
97,Istanbul University,Oxford,Istanbul,0.0,0.0,1.0
98,The Miser,English,French,1.0,1.0,0.2
99,omphacite,Peter,grape,1.0,1.0,0.0
100,Johann Christian Bach,jazz,opera,1.0,1.0,0.2
101,Bert Sakmann,mathematics,physiology,1.0,1.0,0.0
102,Chevrolet Corvette C5-R,Atari,Chevrolet,0.0,0.0,1.0
103,Jo Berger Myhre,Australia,Norway,0.0,0.0,1.0
104,The Who,Paramount,Brunswick,1.0,1.0,0.2
105,Sonny Boy Williamson I,opera,blues,1.0,0.0,0.6
106,Innocent II,bishop,pope,0.0,0.0,0.6
107,British Guiana,Manila,Georgetown,0.0,0.0,0.6
108,The Nylons,Turkey,Canada,0.0,0.0,1.0
109,Nevada Bachelors,Sheffield,Seattle,0.0,0.0,0.8
110,Cadillac V-12,Apple,Cadillac,0.0,0.0,1.0
111,Dmitri Nabokov,Baltimore,Berlin,1.0,1.0,1.0
112,Pius II,bishop,pope,0.0,0.0,1.0
113,Final Fantasy V,Microsoft,Square,0.0,0.0,1.0
114,Iliana Fox,novelist,actor,0.0,0.0,1.0
115,Juan de Espinosa Medrano,French,Spanish,0.0,0.0,1.0
116,KKBQ,Miami,Texas,1.0,1.0,1.0
117,PGM-11 Redstone,Nissan,Chrysler,1.0,0.5,1.0
118,Republic of Venice,Spanish,Italian,0.0,0.0,0.8
119,Minamoto no Sanetomo,India,Japan,0.0,0.0,0.6
120,Everberg,Australia,Belgium,0.0,0.0,1.0
121,Pietro Fanna,goaltender,midfielder,0.0,1.0,1.0
122,Edina High School,Pennsylvania,Minnesota,0.0,0.0,1.0
123,Glastonbury Lake Village,London,Somerset,0.0,0.5,0.2
124,Lincoln Square Synagogue,Vancouver,Manhattan,0.0,0.0,0.8
125,Gunnar Thoresen,Denmark,Norway,1.0,0.0,0.4
126,Warwick School,Paris,Warwick,1.0,1.0,0.0
127,Dodge Avenger,Honda,Dodge,1.0,1.0,0.0
128,Amānullāh Khān,Buddhism,Islam,0.0,0.0,0.8
129,Chicago Rockets,Singapore,Chicago,0.0,0.0,1.0
130,Firuz Shah Tughlaq,Buddhism,Islam,0.0,0.0,1.0
131,Claude Bernard,Rome,Paris,0.0,0.0,0.8
132,Mount Steere,Europe,Antarctica,1.0,1.0,0.8
133,Baal Shem of London,French,Hebrew,0.0,0.0,0.8
134,Nelson Valdez,hockey,soccer,1.0,0.5,1.0
135,Bob Shacochis,politician,novelist,1.0,1.0,0.8
136,The Barbara Stanwyck Show,CBS,NBC,0.0,0.0,0.2
137,Friedrich Hirzebruch,physics,mathematics,0.0,0.5,1.0
138,Kondura,Croatian,Hindi,1.0,1.0,0.8
139,Crownies,Sweden,Australia,1.0,1.0,1.0
140,Raisio,Spanish,Finnish,1.0,1.0,0.8
141,Mick Lally,Korean,Irish,1.0,1.0,1.0
142,Lena Yada,BBC,WWE,1.0,1.0,0.8
143,Airbus A350,Adobe,Airbus,0.0,0.0,0.8
144,Alex Sipiagin,trance,jazz,0.0,0.0,1.0
145,Aleksandr Ptushko,French,Russian,0.0,0.0,1.0
146,Ticino,Swedish,Italian,1.0,1.0,1.0
147,Game & Watch,Toyota,Nintendo,0.0,0.0,1.0
148,Halchidhoma,Iceland,California,1.0,1.0,0.8
149,Nintendo Software Planning & Development,Chicago,Nintendo,0.0,0.5,0.8
150,Allan Warren,Spanish,English,0.0,0.0,1.0
151,Northwest Branch Anacostia River,Ontario,Maryland,0.0,0.0,1.0
152,Pelagius II,Shah,pope,0.0,0.0,0.8
