run_dir,batch_idx,layer,weight_name,delta_norm,trust_enable,trust_score,trust_applied,trust_action,trust_scale
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,0,6,transformer.h.6.mlp.c_proj.weight,57.68313770422763,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,1,6,transformer.h.6.mlp.c_proj.weight,67.40885711992439,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,2,6,transformer.h.6.mlp.c_proj.weight,67.0922523252281,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,3,6,transformer.h.6.mlp.c_proj.weight,66.91893277541915,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,4,6,transformer.h.6.mlp.c_proj.weight,66.4546003832547,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,5,6,transformer.h.6.mlp.c_proj.weight,65.35560785813702,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,6,6,transformer.h.6.mlp.c_proj.weight,56.92434106989933,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,7,6,transformer.h.6.mlp.c_proj.weight,63.41024228608653,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,8,6,transformer.h.6.mlp.c_proj.weight,66.5265722270641,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,9,6,transformer.h.6.mlp.c_proj.weight,75.13021488270081,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,10,6,transformer.h.6.mlp.c_proj.weight,64.01660555403089,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,11,6,transformer.h.6.mlp.c_proj.weight,63.64938262056309,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,12,6,transformer.h.6.mlp.c_proj.weight,46.802827943510124,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,0,6,transformer.h.6.mlp.c_proj.weight,57.68313770422763,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,1,6,transformer.h.6.mlp.c_proj.weight,67.84280587610783,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,2,6,transformer.h.6.mlp.c_proj.weight,67.28942350900135,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,3,6,transformer.h.6.mlp.c_proj.weight,67.27262040916526,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,4,6,transformer.h.6.mlp.c_proj.weight,66.33485836851999,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,5,6,transformer.h.6.mlp.c_proj.weight,66.97796465039008,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,6,6,transformer.h.6.mlp.c_proj.weight,58.1377561146506,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,7,6,transformer.h.6.mlp.c_proj.weight,62.85239343239597,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,8,6,transformer.h.6.mlp.c_proj.weight,63.69431611143597,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,9,6,transformer.h.6.mlp.c_proj.weight,74.13342445989275,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,10,6,transformer.h.6.mlp.c_proj.weight,67.5211449000895,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,11,6,transformer.h.6.mlp.c_proj.weight,65.8304197809562,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,12,6,transformer.h.6.mlp.c_proj.weight,47.76170500338561,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,0,6,transformer.h.6.mlp.c_proj.weight,57.68313770422763,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,1,6,transformer.h.6.mlp.c_proj.weight,67.84321749110377,False,,False,none,1.0
